Country,Code,LifeExpectancy,GDP,Population,Continent
Oman,OMN,77.633,36477.63672,4829476,Asia
Pakistan,PAK,67.114,5510.396484,212228288,Asia
Palestine,PSE,73.895,5207.756836,4862978,Asia
Panama,PAN,78.329,22637.14844,4176868,Middle & South America
Paraguay,PRY,74.131,9338.948242,6956069,Middle & South America
Peru,PER,76.516,12310.08496,31989265,Middle & South America
Philippines,PHL,71.095,8139.139648,106651394,Asia
Poland,POL,78.544,27455.23633,37921585,Europe
Portugal,PRT,81.857,27035.59961,10256192,Europe
Puerto Rico,PRI,79.952,35076.29297,3039598,Middle & South America
Qatar,QAT,80.1,153764.1719,2781682,Asia
Romania,ROU,75.924,20126.29297,19506110,Europe
Russia,RUS,72.386,24668.9082,145734034,Europe
Rwanda,RWA,68.7,1929.285156,12301969,Africa
Saint Lucia,LCA,76.057,10475.36914,181890,Middle & South America
Sao Tome and Principe,STP,70.17,3730.20459,211032,Africa
Saudi Arabia,SAU,74.998,50304.75,33702757,Asia
Senegal,SEN,67.665,2617.124512,15854324,Africa
Serbia,SRB,75.849,14124.11816,8802741,Europe
Seychelles,SYC,73.333,29531.06055,97094,Africa
Sierra Leone,SLE,54.309,1683.849731,7650149,Africa
Singapore,SGP,83.458,68402.34375,5757503,Asia
Slovakia,SVK,77.388,27075.53516,5453017,Europe
Slovenia,SVN,81.172,29244.91992,2077835,Europe
South Africa,ZAF,63.857,12165.79492,57792520,Africa
South Korea,KOR,82.846,37927.60938,51171700,Asia
Spain,ESP,83.433,31496.51953,46692863,Europe
Sri Lanka,LKA,76.812,11662.90625,21228760,Asia
Sweden,SWE,82.654,45541.89063,9971630,Europe
Switzerland,CHE,83.63,61372.73047,8525614,Europe
Syria,SYR,71.779,3349.459717,16945062,Asia
Taiwan,TWN,80.283,44663.86328,23726460,Asia
Tajikistan,TJK,70.879,4440.381836,9100847,Asia
Tanzania,TZA,65.015,2874.962891,56313444,Africa
Thailand,THA,76.931,16648.62305,69428454,Asia
Togo,TGO,60.76,1451.36084,7889095,Africa
Trinidad and Tobago,TTO,73.38,28549.4082,1389841,Middle & South America
Tunisia,TUN,76.505,11353.88672,11565203,Africa
Turkey,TUR,77.437,19270.2207,82340090,Asia
Turkmenistan,TKM,68.073,26318.36523,5850902,Asia
Uganda,UGA,62.973,2045.420288,42729032,Africa
Ukraine,UKR,71.953,9813.363281,44246158,Europe
United Arab Emirates,ARE,77.814,76397.82031,9630966,Asia
United Kingdom,GBR,81.236,38058.08594,67141678,Europe
United States,USA,78.851,55334.73828,327096263,North America
Uruguay,URY,77.77,20185.83594,3449290,Middle & South America
Uzbekistan,UZB,71.573,11220.37012,32476232,Asia
Venezuela,VEN,72.128,10709.9502,28887117,Middle & South America
Vietnam,VNM,75.317,6814.14209,95545959,Asia
Yemen,YEM,66.096,2284.889893,28498683,Asia
Zambia,ZMB,63.51,3534.033691,17351714,Africa
Zimbabwe,ZWE,61.195,1611.405151,14438812,Africa
